Course Title,Total Enrolled,Total Certified
Closing Sales Strategies,34,22
AI in Robotics,34,23
AI in IoT,34,26
Game Testing Techniques,34,27
2D Game Development,33,22
Consensus Algorithms,33,21
Content Management Systems (CMS),33,24
Container Orchestration with Kubernetes,33,26
Version Control with Git,33,20
React,33,18
Email Marketing Basics,33,22
Google Ads Fundamentals,33,22
Blockchain Use Cases,33,23
Budgeting for Projects,33,21
Deep Learning with TensorFlow,32,21
Understanding Consumer Behavior,32,22
Requirements Gathering Techniques,32,22
Introduction to Content Creation,32,23
Computer Vision Applications,32,24
Reinforcement Learning Techniques,32,25
Content Marketing Strategies,32,18
Security in Cloud Computing,32,21
Natural Language Processing,32,19
Web Accessibility Standards,31,19
Personal Finance Skills,31,21
Decentralized Applications (DApps),31,24
Game Monetization Strategies,31,21
Risk Management in Cybersecurity,30,19
Mobile App Security,30,23
Affiliate Marketing,30,20
Introduction to Cloud Computing,30,23
Incident Response,30,19
Video Production Basics,30,25
Agile Methodologies,30,21
Infrastructure as Code,30,24
Digital Sales Techniques,30,19
Cloud Support Fundamentals,29,19
ITIL Foundations,29,19
Frontend Development Basics,29,18
Continuous Integration and Delivery,29,18
Graphic Design Basics for Content,29,19
Negotiation Techniques,28,20
Business Process Modeling,28,19
Introduction to DevOps,27,16
MongoDB,24,18
Penetration Testing,24,15
HTML & CSS,24,16
YDJA,0,0
